District,Democrat,Republican,Other,State,Year,Democrat Incumbent,Democrat Votes,Republican Incumbent,Republican Votes,Other Incumbent,Other Votes
1,Alicia Kallen,Terry Kilgore,No candidate,Virginia,2017,False,4639,True,14848,0,0
2,Jennifer Foy,Mike Makee,No candidate,Virginia,2017,False,13366,False,7803,0,0
3,Bill Bunch Jr.,James Morefield,No candidate,Virginia,2017,False,3759,True,13572,0,0
4,No candidate,Todd Pillion,No candidate,Virginia,2017,False,0,True,15282,0,0
5,No candidate,Israel O'Quinn,No candidate,Virginia,2017,False,0,True,18402,0,0
6,No candidate,Jeffrey Campbell,Kenneth Browning,Virginia,2017,False,0,True,16795,False,3695
7,Flourette Ketner,Larry Rush,No candidate,Virginia,2017,False,8878,True,17560,0,0
8,Steve McBride,Greg Habeeb,No candidate,Virginia,2017,False,10294,True,18311,0,0
9,Stephanie Cook,Charles Poindexter,No candidate,Virginia,2017,False,6916,True,16413,0,0
10,Wendy Gooditis,Randall Minchew,No candidate,Virginia,2017,False,15161,True,14025,0,0
11,Sam Rasoul,No candidate,No candidate,Virginia,2017,True,15667,False,0,0,0
12,Chris Hurst,Joseph Yost,No candidate,Virginia,2017,False,12495,True,10458,0,0
13,Danica Roem,Bob Marshall,No candidate,Virginia,2017,False,12077,True,10318,0,0
14,No candidate,Danny Marshall III,No candidate,Virginia,2017,False,0,True,15505,0,0
15,No candidate,C. Todd Gilbert,No candidate,Virginia,2017,False,0,True,19284,0,0
16,No candidate,Les Adams,No candidate,Virginia,2017,False,0,True,16513,0,0
17,Djuna Osborne,Chris Head,No candidate,Virginia,2017,False,10378,True,15997,0,0
18,Tristan Shields,Michael Webert,Wilton King,Virginia,2017,False,9486,True,16686,False,1433
19,No candidate,Terry Austin,No candidate,Virginia,2017,False,0,True,20966,0,0
20,Michele Edwards,Richard Bell,Will Hammer,Virginia,2017,False,11197,True,14344,False,745
21,Kelly Convirs-Fowler,Ronald Villanueva,No candidate,Virginia,2017,False,12540,True,11309,0,0
22,No candidate,Kathy Byron,No candidate,Virginia,2017,False,0,True,19041,0,0
23,Natalie Short,T. Scott Garrett,No candidate,Virginia,2017,False,9050,True,17370,0,0
24,No candidate,Ben Cline,John Winfrey,Virginia,2017,False,0,True,17351,False,6683
25,Angela Lynn,Steve Landes,No candidate,Virginia,2017,False,12783,True,17688,0,0
26,Brent Finnegan,Tony Wilt,No candidate,Virginia,2017,False,9234,True,11106,0,0
27,Larry Barnett,Roxann Robinson,No candidate,Virginia,2017,False,14333,True,14461,0,0
28,Joshua Cole,Robert Thomas Jr.,No candidate,Virginia,2017,False,11760,False,11842,0,0
29,Casey Turben,Chris Collins,No candidate,Virginia,2017,False,8390,True,15139,0,0
30,Samuel Hixon,Nick Freitas,No candidate,Virginia,2017,False,9333,True,15355,0,0
31,Elizabeth Guzman,Scott Lingamfelter,Nathan Larson,Virginia,2017,False,15466,True,12658,False,481
32,David Reid,Thomas Greason,No candidate,Virginia,2017,False,17865,True,12653,0,0
33,Tia Walbridge,Dave LaRock,No candidate,Virginia,2017,False,13770,True,16723,0,0
34,Kathleen J. Murphy,Cheryl Buford,No candidate,Virginia,2017,True,20522,False,13146,0,0
35,Mark Keam,No candidate,No candidate,Virginia,2017,True,22596,False,0,0,0
36,Ken Plum,No candidate,No candidate,Virginia,2017,True,24149,False,0,0,0
37,David Bulova,No candidate,No candidate,Virginia,2017,True,18877,False,0,0,0
38,Kaye Kory,Paul Haring,No candidate,Virginia,2017,True,16023,False,5723,0,0
39,Vivian Watts,No candidate,No candidate,Virginia,2017,True,21407,False,0,0,0
40,Donte Tanner,Tim Hugo,No candidate,Virginia,2017,False,15015,True,15116,0,0
41,Eileen Filler-Corn,No candidate,No candidate,Virginia,2017,True,22985,False,0,0,0
42,Kathy Tran,Lolita Mancheno-Smoak,No candidate,Virginia,2017,False,18761,False,11967,0,0
43,Mark Sickles,No candidate,No candidate,Virginia,2017,True,22094,False,0,0,0
44,Paul Krizek,No candidate,No candidate,Virginia,2017,True,18243,False,0,0,0
45,Mark Levine,No candidate,No candidate,Virginia,2017,True,31417,False,0,0,0
46,Charniele Herring,No candidate,No candidate,Virginia,2017,True,18947,False,0,0,0
47,Patrick Hope,No candidate,No candidate,Virginia,2017,True,29706,False,0,0,0
48,R.C. Sullivan Jr.,No candidate,No candidate,Virginia,2017,True,27670,False,0,0,0
49,Alfonso Lopez,Adam Roosevelt,No candidate,Virginia,2017,True,19308,False,4391,0,0
50,Lee Carter,Jackson H. Miller,No candidate,Virginia,2017,False,11366,True,9518,0,0
51,Hala Ayala,Richard Anderson,No candidate,Virginia,2017,False,15244,True,13476,0,0
52,Luke Torian,No candidate,No candidate,Virginia,2017,True,14830,False,0,0,0
53,Marcus Simon,No candidate,Mike Casey,Virginia,2017,True,19235,False,0,False,6362
54,Al Durante,Bobby Orrock,No candidate,Virginia,2017,False,9982,True,13782,0,0
55,Morgan Goodman,Buddy Fowler Jr.,No candidate,Virginia,2017,False,12056,True,18087,0,0
56,Melissa Dart,John McGuire,No candidate,Virginia,2017,False,12761,False,18792,0,0
57,David Toscano,No candidate,No candidate,Virginia,2017,True,25419,False,0,0,0
58,Kellen Squire,Rob Bell,No candidate,Virginia,2017,False,11797,True,18652,0,0
59,Tracy Carver,Matt Fariss,Marcus Sutphin,Virginia,2017,False,8773,True,15758,False,297863
60,Jamaal Johnston,James Edmunds II,No candidate,Virginia,2017,False,8177,True,13330,0,0
61,No candidate,Tommy Wright,No candidate,Virginia,2017,False,0,True,17507,0,0
62,Sheila Bynum-Coleman,Riley Ingram,No candidate,Virginia,2017,False,11344,True,12163,0,0
63,Lashrecse Aird,No candidate,No candidate,Virginia,2017,True,15623,False,0,0,0
64,Rebecca Colaw,Emily Brewer,No candidate,Virginia,2017,False,11551,False,19223,0,0
65,Francis Stevens,Lee Ware,No candidate,Virginia,2017,False,12530,True,22394,0,0
66,Katie Sponsler,Kirk Cox,No candidate,Virginia,2017,False,10656,True,18572,0,0
67,Karrie Delaney,James LeMunyon,No candidate,Virginia,2017,False,17036,True,12365,0,0
68,Dawn Adams,Manoli Loupassi,No candidate,Virginia,2017,False,19772,True,19427,0,0
69,Betsy Carr,No candidate,Montigue Magruder,Virginia,2017,True,19775,False,0,False,10621931
70,Delores McQuinn,No candidate,No candidate,Virginia,2017,True,20391,False,0,0,0
71,Jeff Bourne,No candidate,No candidate,Virginia,2017,True,24287,False,0,0,0
72,Schuyler VanValkenburg,Edward Whitlock III,No candidate,Virginia,2017,False,16655,False,14869,0,0
73,Debra Rodman,John O'Bannon,No candidate,Virginia,2017,False,14697,True,13803,0,0
74,Lamont Bagby,No candidate,Preston Brown,Virginia,2017,True,20041,False,0,False,6146
75,Roz Tyler,No candidate,No candidate,Virginia,2017,True,16245,False,0,0,0
76,No candidate,Chris Jones,No candidate,Virginia,2017,False,0,True,22736,0,0
77,Cliff Hayes,No candidate,Jeff Staples,Virginia,2017,True,16483,False,0,False,3362
78,No candidate,Jay Leftwich,No candidate,Virginia,2017,False,0,True,20768,0,0
79,Steve Heretick,No candidate,No candidate,Virginia,2017,True,12864,False,0,0,0
80,Matthew James,No candidate,No candidate,Virginia,2017,True,20292,False,0,0,0
81,Kimberly Tucker,Barry Knight,No candidate,Virginia,2017,False,9127,True,13162,0,0
82,Leigh Bowling,Jason Miyares,No candidate,Virginia,2017,False,11174,True,16048,0,0
83,David Rose-Carmack,Christopher Stolle,No candidate,Virginia,2017,False,10077,True,13173,0,0
84,Veronica Coleman,Glenn Davis,No candidate,Virginia,2017,False,10093,True,10835,0,0
85,Cheryl Turpin,Rocky Holcomb,No candidate,Virginia,2017,False,11843,True,11454,0,0
86,Jennifer Boysko,Linda Schulz,No candidate,Virginia,2017,True,16865,False,7707,0,0
87,John Bell,Subba Kolla,No candidate,Virginia,2017,True,18234,False,11236,0,0
88,Steve Aycock,Mark Cole,Gerald Anderson,Virginia,2017,False,9918,True,14022,False,2552373
89,Jerrauld Jones,No candidate,Terry Hurst,Virginia,2017,False,16541,False,0,False,2944
90,Joseph Lindsey,No candidate,No candidate,Virginia,2017,True,15996,False,0,0,0
91,Michael Wade,Gordon Helsel,No candidate,Virginia,2017,False,10764,True,13877,0,0
92,Jeion Ward,No candidate,No candidate,Virginia,2017,True,18873,False,0,0,0
93,Michael Mullin,Heather Cordasco,No candidate,Virginia,2017,True,15988,False,10625,0,0
94,Shelly Simonds,David Yancey,Michael Bartley,Virginia,2017,False,11608,True,11608,False,675
95,Marcia Price,No candidate,No candidate,Virginia,2017,True,15766,False,0,0,0
96,Kelly Delucia,Brenda Pogge,No candidate,Virginia,2017,False,14947,True,19841,0,0
97,Cori Johnson,Chris Peace,No candidate,Virginia,2017,False,9319,True,24363,0,0
98,Sheila Crowley,Keith Hodges,No candidate,Virginia,2017,False,9945,True,18561,0,0
99,Francis Edwards,Margaret Ransone,No candidate,Virginia,2017,False,10043,True,16548,0,0
100,Willie Randall,Robert Bloxom Jr.,No candidate,Virginia,2017,False,10720,True,11720,0,0
