year,state,url
2017,Virginia,"https://results.elections.virginia.gov/vaelections/2017%20November%20General/Json/GeneralAssembly.json"
2017,New Jersey,"https://ballotpedia.org/New_Jersey_General_Assembly_elections,_2017"
