,Democrat,Republican,Other,State,Year,Democrat Incumbent,Democrat Votes,Republican Incumbent,Republican Votes
0,Scott J. Kawasaki,No candidate,,Alaska,2016,True,1,False,0
1,Truno Holdaway,Steve M. Thompson,,Alaska,2016,False,1153,True,3268
2,Christina M. Sinclair,Tammie Wilson,"Jeanne Olson: 2,270 (Ind.)",Alaska,2016,False,537,True,4291
3,David Guttenberg,No candidate,,Alaska,2016,True,1,False,0
4,Adam Wool,Aaron Lojewski,,Alaska,2016,True,3812,False,3384
5,Jason T. Land,David M. Talerico,,Alaska,2016,False,2327,True,5126
6,Sherie A. Olson,Colleen Sullivan-Leonard,,Alaska,2016,False,1573,False,5293
7,Gregory I. Jones,Mark A. Neuman,,Alaska,2016,True,1268,True,5753
8,No candidate,George Rauscher,"Pamela Goode: 2,816 (Constitution)",Alaska,2016,False,0,False,4758
9,Patricia Faye-Brazel,David Eastman,,Alaska,2016,False,2021,False,5901
10,No candidate,Delena Johnson,"Bert Verrall: 2,681 (Ind.)",Alaska,2016,False,0,False,5752
11,Gretchen L. Wehmhoff,Cathy L. Tilton,Karen Perry: 949 (Constitution),Alaska,2016,False,2061,True,5597
12,No candidate,Dan Saddler,,Alaska,2016,False,0,True,1
13,No candidate,Lora Reinbold,"Joe Hackenmueller: 3,882 (Ind.)",Alaska,2016,False,0,True,5733
14,Patrick M. McCormack,Gabrielle LeDoux,,Alaska,2016,False,1344,True,2834
15,Ivy Spohnholz,Don Hadley,Ian Sharrock: 410 (Ind.),Alaska,2016,True,3367,False,2740
16,Andrew L. Josephson,No candidate,,Alaska,2016,True,1,False,0
17,Harriet A. Drummond,Michael W. Gordon,,Alaska,2016,True,3490,False,2760
18,Geran Tarr,No candidate,,Alaska,2016,True,1,False,0
19,Les S. Gara,No candidate,,Alaska,2016,True,1,False,0
20,Matt Claman,Marilyn Stewart,,Alaska,2016,True,4145,False,3767
21,No candidate,Liz Vazquez,"Jason Grenn: 3,561 Dustin Darden: 730 (Alaskan Independent)",Alaska,2016,False,0,True,3375
22,Chris S. Tuck,Timothy R. Huit,,Alaska,2016,True,3443,False,2672
23,Sue Levi,Charles M. Kopp,,Alaska,2016,False,3518,False,5019
24,Pat Higgins,Charisse E. Millett,,Alaska,2016,False,3592,True,3685
25,David Gillespie,Chris Birch,,Alaska,2016,False,2873,False,5141
26,Harry Crawford Jr.,Lance Pruitt,,Alaska,2016,False,3929,True,4086
27,Shirley A. Cote,Jennifer B. Johnston,,Alaska,2016,False,4606,False,5903
28,No candidate,Charles M. Chenault,,Alaska,2016,False,0,True,1
29,Shauna Thornton,Gary A. Knopp,Daniel Lynch: 473 (Ind.) J.R. Myers: 473 (Constitution),Alaska,2016,False,1868,False,5346
30,No candidate,Paul Seaton,,Alaska,2016,False,0,True,1
31,Brent L. Watkins,Louise Stutes,"Duncan Fields: 2,777 (Ind.)",Alaska,2016,False,1128,True,2981
32,Sam Kito III,No candidate,,Alaska,2016,True,1,False,0
33,Justin Parish,Cathy Mu̱oz,,Alaska,2016,False,4527,True,4332
34,Jonathan S. Kreiss-Tomkins,Sheila Finkenbinder,,Alaska,2016,True,5068,False,3486
35,No candidate,Robert W. Siversten,"Daniel Ortiz: 4,109 (I) Kenneth Shaw: 396 (Constitution)",Alaska,2016,False,0,False,3319
36,Bryce E. Edgmon,William W. Weatherby,,Alaska,2016,True,2724,False,1868
37,Zach Fansler,No candidate,,Alaska,2016,False,1,False,0
38,Neal Winston Foster,No candidate,,Alaska,2016,True,1,False,0
39,Dean Westlake,No candidate,,Alaska,2016,False,1,False,0
40,No candidate,Carol Dalby,,Arkansas,2016,False,0,False,1
41,No candidate,Lane Jean,,Arkansas,2016,False,0,True,1
42,Brent Talley,Danny Watson,Cecil Anderson: 157 (L),Arkansas,2016,True,3872,False,5311
43,Fonda Hawthorne,DeAnn Vaught,,Arkansas,2016,False,2485,True,6805
44,David Fielding,No candidate,,Arkansas,2016,True,1,False,0
45,No candidate,Matthew Shepherd,,Arkansas,2016,False,0,True,1
46,"Floyd Thomas, Jr.",Sonia Eubanks Barker,Glenn Glover: 796 (Ind.),Arkansas,2016,False,3827,False,5606
47,Jeff Wardlaw,No candidate,,Arkansas,2016,True,1,False,0
48,LeAnne Burch,No candidate,,Arkansas,2016,False,6519,False,0
49,Dorothy Hall,Mike Holcomb,,Arkansas,2016,False,4024,True,7043
50,Mark McElroy,No candidate,,Arkansas,2016,True,1,False,0
51,Chris Richey,No candidate,,Arkansas,2016,True,1,False,0
52,David Hillman,No candidate,,Arkansas,2016,True,1,False,0
53,Camille Bennett,Roger Lynch,,Arkansas,2016,True,5391,False,5867
54,No candidate,Ken Bragg,"Wayne Willems: 2,002 (L)",Arkansas,2016,False,0,True,9816
55,Ken Ferguson,No candidate,,Arkansas,2016,True,1,False,0
56,Vivian Flowers,No candidate,,Arkansas,2016,True,1,False,0
57,Richard Bright,Richard Womack,,Arkansas,2016,False,5088,True,6499
58,No candidate,Justin Gonzales,,Arkansas,2016,False,0,True,1
59,No candidate,John Maddox,"Henry Nielson: 1,688 (Ind.)",Arkansas,2016,False,0,False,8936
60,No candidate,Marcus Richmond,,Arkansas,2016,False,0,True,1
61,No candidate,Mickey Gates,,Arkansas,2016,False,0,True,1
62,No candidate,Lanny Fite,,Arkansas,2016,False,0,True,1
63,No candidate,Bruce Cozart,,Arkansas,2016,False,0,True,1
64,Jerry Rephan,Les Warren,,Arkansas,2016,False,4208,False,5973
65,No candidate,Laurie Rushing,,Arkansas,2016,False,0,True,1
66,Melissa Fults,Andy Mayberry,,Arkansas,2016,False,3748,False,8711
67,No candidate,Kim Hammer,,Arkansas,2016,False,0,True,1
68,Fredrick Love,No candidate,"Glen Schwarz: 1,078 (L)",Arkansas,2016,True,6844,False,0
69,Fred Allen,No candidate,,Arkansas,2016,False,1,False,0
70,No candidate,Andy Davis,,Arkansas,2016,False,0,True,1
71,Susan Inman,Jim Sorvillo,,Arkansas,2016,True,6559,True,8435
72,Warwick Sabin,No candidate,"Michael Williams: 2,683 (L)",Arkansas,2016,True,9472,False,0
73,John W. Walker,No candidate,,Arkansas,2016,True,1,False,0
74,Clarke Tucker,No candidate,,Arkansas,2016,True,1,False,0
75,Charles Blake,No candidate,,Arkansas,2016,True,1,False,0
76,"Eddie Armstrong, III",No candidate,,Arkansas,2016,True,1,False,0
77,Victoria Leigh,Carlton Wing,,Arkansas,2016,False,6466,False,7019
78,Bill Rahn,Mark Lowery,,Arkansas,2016,False,6223,True,7318
79,No candidate,Douglas House,,Arkansas,2016,False,0,True,1
80,No candidate,Karilyn Brown,,Arkansas,2016,False,0,True,1
81,J.P. Bob Johnson,Patrick Thomas,,Arkansas,2016,True,5100,False,3622
82,No candidate,Tim Lemons,,Arkansas,2016,False,0,True,1
83,No candidate,Joe Farrer,"Garry Baker: 2,070 (L)",Arkansas,2016,False,0,True,9243
84,No candidate,Jeremy Gillam,,Arkansas,2016,False,0,True,1
85,No candidate,Les Eaves,,Arkansas,2016,False,0,True,1
86,Michael John Gray,No candidate,,Arkansas,2016,True,1,False,0
87,Reginald Murdock,No candidate,,Arkansas,2016,True,1,False,0
88,Marshall Wright,Steve Hollowell,,Arkansas,2016,True,4411,False,5539
89,"Milton Nicks, Jr.",No candidate,,Arkansas,2016,True,1,False,0
90,Deborah Ferguson,No candidate,,Arkansas,2016,True,1,False,0
91,No candidate,Dwight Tosh,,Arkansas,2016,False,0,True,1
92,No candidate,Dan Sullivan,,Arkansas,2016,False,0,True,1
93,Hunter Williams,Johnny Rye,,Arkansas,2016,False,2259,False,6490
94,Monte Hodges,No candidate,,Arkansas,2016,True,1,False,0
95,Joe Jett,No candidate,,Arkansas,2016,True,1,False,0
96,Frankie Gilliam,Jimmy Gazaway,,Arkansas,2016,False,3351,False,6496
97,Nate Looney,Brandt Smith,,Arkansas,2016,False,5153,True,6448
98,No candidate,Jack Ladyman,,Arkansas,2016,False,0,True,1
99,James Ratliff,Frances Cavenaugh,,Arkansas,2016,True,4948,False,5112
100,Scott Baltz,Marsh Davis,Chris Olson: 467 (L),Arkansas,2016,True,5559,False,4996
101,No candidate,Michelle Gray,,Arkansas,2016,False,0,True,1
102,No candidate,James Sturch,,Arkansas,2016,False,0,True,1
103,No candidate,John Payton,,Arkansas,2016,False,0,True,1
104,No candidate,Rick Beck,,Arkansas,2016,False,0,True,1
105,No candidate,Josh Miller,,Arkansas,2016,False,0,True,1
106,No candidate,Stephen Meeks,,Arkansas,2016,False,0,True,1
107,No candidate,Trevor Drown,,Arkansas,2016,False,0,True,1
108,"George Overbey, Jr.",Aaron Pilkington,,Arkansas,2016,False,4344,False,6088
109,No candidate,David Meeks,,Arkansas,2016,False,0,True,1
110,No candidate,Kenneth Henderson,,Arkansas,2016,False,0,True,1
111,Steve Magie,Shannon Taylor,,Arkansas,2016,True,6315,False,4239
112,Lesa Wolfe Crowell,Mary Bentley,,Arkansas,2016,False,2094,True,6536
113,No candidate,Jon S. Eubanks,,Arkansas,2016,False,0,True,1
114,No candidate,Charlotte Vining Douglas,,Arkansas,2016,False,0,True,1
115,No candidate,Mathew Pitsch,,Arkansas,2016,False,0,True,1
116,No candidate,Justin Boyd,"Stephen Edwards: 3,051 (L)",Arkansas,2016,False,0,True,7133
117,George McGill,No candidate,,Arkansas,2016,True,1,False,0
118,No candidate,Gary Deffenbaugh,,Arkansas,2016,False,0,True,1
119,No candidate,Charlene Fite,,Arkansas,2016,False,0,True,1
120,Susan McGaughey,Bruce Coleman,,Arkansas,2016,False,3187,False,8259
121,No candidate,Sarah Capp,,Arkansas,2016,False,0,False,1
122,No candidate,David Branscum,,Arkansas,2016,False,0,True,1
123,No candidate,Charlie Collins,,Arkansas,2016,False,0,True,1
124,David Whitaker,Dwight Gonzales,,Arkansas,2016,True,7453,False,6624
125,Greg Leding,No candidate,,Arkansas,2016,True,1,False,0
126,No candidate,Robin Lundstrum,,Arkansas,2016,False,0,True,1
127,No candidate,Clint Penzo,,Arkansas,2016,False,0,False,1
128,Irvin Camacho,Jeff Williams,,Arkansas,2016,True,2210,False,2823
129,No candidate,Jana Della Rosa,,Arkansas,2016,False,0,True,1
130,No candidate,Dan Douglas,,Arkansas,2016,False,0,True,1
131,No candidate,Kim Hendren,,Arkansas,2016,False,0,True,1
132,No candidate,Jim Dotson,,Arkansas,2016,False,0,True,1
133,Grimsley Graham,Rebecca Petty,,Arkansas,2016,False,4136,True,4926
134,No candidate,Austin McCollum,"Grant Brand: 3,188 (L)",Arkansas,2016,False,0,False,10012
135,No candidate,Grant Hodges,"Michael Kalagias: 2,919 (L)",Arkansas,2016,False,0,True,7299
136,No candidate,Bob Ballinger,,Arkansas,2016,False,0,True,1
137,No candidate,Ron McNair,,Arkansas,2016,False,0,True,1
138,No candidate,Jack Fortner,,Arkansas,2016,False,0,False,1
139,No candidate,Nelda Speaks,,Arkansas,2016,False,0,True,1
140,No candidate,Brian Dahle,"Donn Coenen: 52,871 (L)",California,2016,False,0,True,148657
141,Jim Wood,No candidate,"Ken Anton: 51,245 (L)",California,2016,True,138020,False,0
142,Edward Ritchie,James Gallagher,,California,2016,False,63867,True,108910
143,Cecilia Aguiar-Curry,Charlie Schaupp,,California,2016,False,118772,False,68170
144,Robert Carabas,Frank Bigelow,,California,2016,False,66949,True,121644
145,Brian Caples,Kevin Kiley,,California,2016,False,81919,False,149415
146,Kevin McCarty,Ryan Brown,,California,2016,True,111112,False,48097
147,Ken Cooley,Nick Bloise,,California,2016,True,104552,False,78848
148,Jim Cooper,Tim Gorsulowsky,,California,2016,True,109979,False,54729
149,Marc Levine,No candidate,,California,2016,True,14020765355,False,0
150,Jim Frazier,Dave Miller,,California,2016,True,111592,False,62227
151,No candidate,Ken Vogel,,California,2016,False,0,False,7443381680
152,Susan Talamantes Eggman,"Kevin J. Lincoln, II",,California,2016,True,86315,True,46883
153,Mae Torlakson,No candidate,,California,2016,False,67300107653,False,0
154,Tony Thurmond,Claire Chiara,,California,2016,True,189530,False,22528
155,Cheryl Cook-Kallio,Catharine Baker,,California,2016,False,102290,True,129585
156,David Chiu,Matthew Del Carlo,,California,2016,True,172153,False,27417
157,Rob Bonta,Roseann Slonsky-Breault,,California,2016,True,156163,False,23273
158,Phil Ting,Carlos Taylor,,California,2016,True,150052,False,37180
159,Bill Quirk,Luis A. Wong,,California,2016,True,114001,False,39507
160,Adam Gray,Greg Opinski,,California,2016,True,85990,False,37230
161,Kevin Mullin,Art Kiesel,,California,2016,True,148289,False,51046
162,No candidate,Gwen L. Morris,,California,2016,False,0,True,39656125153
163,Marc Berman,No candidate,,California,2016,False,9241977362,False,0
164,Kansen Chu,Bob Brunton,,California,2016,True,107821,False,40280
165,Ruben Macareno,Devon Mathis,,California,2016,False,44205,True,76289
166,Madison Nguyen,No candidate,,California,2016,False,6304871696,False,0
167,Evan Low,Nicholas Sclavos,,California,2016,True,136547,False,58641
168,Mark Stone,Sierra Roberts,,California,2016,True,156703,False,60245
169,Anna Caballero,No candidate,,California,2016,False,7988547998,False,0
170,Joaquin Arambula,Clint Olivier,,California,2016,True,62404,False,35454
171,Rudy Salas,Manuel Ramirez,,California,2016,True,53056,False,28502
172,Scott Markovich,Jay Obernolte,,California,2016,False,56086,True,84000
173,Perrin Swanlund,Vince Fong,,California,2016,False,45305,False,123959
174,Dawn Ortiz-Legg,Jordan Cunningham,,California,2016,False,87168,False,105247
175,Steve Fox,Tom Lackey,,California,2016,False,68755,True,77801
176,S. Monique Limon,No candidate,"Edward Fuller: 71,944 (Ind.)",California,2016,False,128344,False,0
177,Christy Smith,Dante Acosta,,California,2016,False,91801,False,102977
178,Raul Bocanegra,No candidate,,California,2016,True,7483449649,False,0
179,Abigail Medina,Marc Steinorth,,California,2016,False,74589,True,76537
180,Chris Holden,Casey C. Higgins,,California,2016,True,120633,False,78817
181,Greg Rodriguez,Chad Mayes,,California,2016,False,72581,True,97864
182,Laura Friedman,No candidate,,California,2016,False,10618658561,False,0
183,Jacqui Irwin,Kerry J. Nelson,,California,2016,True,107084,False,74417
184,Matt Dababneh,Jerry Kowal,,California,2016,True,111148,False,56257
185,Adrin Nazarian,No candidate,,California,2016,True,7758760658,False,0
186,Cheryl Brown,No candidate,,California,2016,True,5199462432,False,0
187,Blanca Rubio,Cory Ellenson,,California,2016,False,87321,False,48922
188,Edwin Chau,Peter Amundson,,California,2016,True,82964,False,35533
189,Richard Bloom,Matthew Gene Craffey,,California,2016,True,158967,False,54016
190,Jimmy Gomez,No candidate,"Mike Everling: 17,724 (L)",California,2016,True,110036,False,0
191,Freddie Rodriguez,No candidate,,California,2016,True,6483644865,False,0
192,Miguel Santiago,No candidate,,California,2016,True,5095836583,False,0
193,Sebastian Ridley-Thomas,Glen Ratcliff,,California,2016,True,146723,False,33119
194,Gregg D. Fritchle,Phillip Chen,,California,2016,False,72471,False,98960
195,Eduardo Garcia,No candidate,,California,2016,True,1,False,0
196,Ian Charles Calderon,Rita Topalian,,California,2016,True,93339,False,55577
197,Cristina Garcia,Ramiro Alvarado,,California,2016,True,105170,False,34449
198,Reginald Jones-Sawyer,No candidate,,California,2016,True,1,False,0
199,Sabrina Cervantes,Eric Linder,,California,2016,False,77404,True,64710
200,Jose Medina,Hector Diaz,,California,2016,True,90663,False,46924
201,Autumn Burke,Marco Leal,"Baron Bruno: 8,958 (L)",California,2016,True,123699,False,27628
202,Anthony Rendon,Adam J. Miller,,California,2016,True,89134,False,25680
203,Mike Gipson,Theresa Sanford,,California,2016,True,86419,False,31300
204,Sharon Quirk-Silva,Young Kim,,California,2016,False,79654,True,69941
205,Al Muratsuchi,David Hadley,,California,2016,False,105336,True,89308
206,Jorge Lopez,Melissa Melendez,,California,2016,False,60996,True,107654
207,Sean Jay Panahi,Steven S. Choi,,California,2016,False,75231,False,114210
208,Tom Daly,Ofelia Velarde-Garcia,,California,2016,True,69640,False,32324
209,Patrick O'Donnell,Martha Flores-Gibson,,California,2016,True,107389,False,53805
210,No candidate,Randy Voepel,,California,2016,False,0,False,10804956184
211,Lenore Albert-Sheridan,Travis Allen,,California,2016,False,71332,True,98335
212,Mesbah Islam,William Brough,,California,2016,True,65662,True,144653
213,Karina Onofre,Matthew Harper,,California,2016,False,89362,True,114477
214,Andrew Masiel Sr.,Marie Waldron,,California,2016,False,65770,True,111598
215,No candidate,Rocky Chavez,,California,2016,False,0,True,9547765377
216,Melinda K. Vasquez,Brian Maienschein,,California,2016,False,88344,True,121140
217,Todd Gloria,Kevin D. Melton,,California,2016,False,145850,False,65134
218,Shirley Weber,John Moore,,California,2016,True,114080,False,60827
219,Lorena Gonzalez,Lincoln Pickard,,California,2016,True,108655,False,30917
220,Susan Lontine,Raymond Garcia,,Colorado,2016,True,17474,False,11154
221,Alec Garnett,Paul Linton,,Colorado,2016,True,34422,False,12550
222,Jeff Bridges,Katy Brown,,Colorado,2016,False,22016,False,19892
223,Dan Pabon,Gavin Marie Halligan,,Colorado,2016,True,25224,False,7577
224,Crisanta Duran,Ronnie Nelson,,Colorado,2016,True,26130,False,7668
225,Chris Hansen,No candidate,,Colorado,2016,False,1,False,0
226,James Coleman,No candidate,,Colorado,2016,False,1,False,0
227,Leslie Herod,Evan Vanderpool,,Colorado,2016,False,38101,False,6822
228,Paul Rosenthal,Paul Martin,,Colorado,2016,True,25709,False,13328
229,Edie Hooton,No candidate,,Colorado,2016,False,1,False,0
230,Jonathan Singer,Corey Piper,,Colorado,2016,True,25327,False,16749
231,Mike Foote,Bob Dillon,,Colorado,2016,True,29663,False,15906
232,KC Becker,No candidate,,Colorado,2016,True,1,False,0
233,Chris Walters,Dan Nordberg,,Colorado,2016,False,12077,True,31766
234,Sharon Huff,Dave Williams,,Colorado,2016,False,11962,False,25239
235,No candidate,Larry Liston,"John Hjersman: 10,262 (L)",Colorado,2016,False,0,False,26225
236,Tony Exum,Kit Roupe,"Susan Quilleash: 2,116 (L)",Colorado,2016,False,11445,True,9613
237,Pete Lee,Cameron Forth,"Norman Dawson: 2,972 (L)",Colorado,2016,True,21145,False,15556
238,Tom Reynolds,Paul Lundeen,,Colorado,2016,False,10258,True,40011
239,Julia Endicott,Terri Carver,"Judith Darcy: 2,425 (L)",Colorado,2016,False,12461,True,26517
240,No candidate,Lois Landgraf,"Michael Seebeck: 7,904 (L)",Colorado,2016,False,0,True,17358
241,No candidate,Justin Everett,"Mary Parker: 17,207 (Ind.)",Colorado,2016,False,0,True,26311
242,Christopher Louis Kennedy,Chris Hadsall,,Colorado,2016,False,23872,False,18850
243,Jessie Danielson,Joseph DeMott,,Colorado,2016,True,24103,False,18191
244,Tammy Story,Tim Leonard,,Colorado,2016,False,24381,True,26232
245,Diane Mitsch Bush,Michael Cacioppo,,Colorado,2016,True,22442,False,14498
246,Wade Michael Norris,Lang Sias,"Doug Miracle: 2,966 (Ind.)",Colorado,2016,False,20098,True,26554
247,Brittany Pettersen,Nancy Pallozzi,"Matthew Hess: 3,402 (L)",Colorado,2016,True,22431,False,14522
248,Tracy Kraft-Tharp,Susan Kochevar,,Colorado,2016,True,21701,False,18072
249,Dafna Michaelson Jenet,JoAnn Windholz,,Colorado,2016,False,15844,True,13395
250,Joe Salazar,Jessica Sandgren,,Colorado,2016,True,18452,False,14861
251,Adrienne Benavidez,Alexander Jacobson,,Colorado,2016,False,15736,False,8710
252,Matt Gray,Karen Nelson,"Kim Tavendale: 2,982 (L)",Colorado,2016,False,25268,False,20197
253,Steve Lebsock,Dustin Johnson,"Jenice ""J.J."" Dove: 1,802 (G)",Colorado,2016,True,14865,False,13061
254,Faith Winter,Emily Voss,,Colorado,2016,True,20198,False,15660
255,Mike Weissman,Richard Bowman,,Colorado,2016,False,19423,False,15708
256,Carol Barrett,Cole Wist,,Colorado,2016,False,19516,True,23518
257,Robert Bowen,Susan Beckman,,Colorado,2016,False,21380,False,29316
258,Richard Opler,Polly Lawrence,,Colorado,2016,False,13478,True,33472
259,Janet Buckner,Todd Brophy,,Colorado,2016,True,21391,False,15691
260,Jovan Melton,Linda Garrison,,Colorado,2016,True,20933,False,13874
261,Dominique Jackson,Mike Donald,,Colorado,2016,False,16103,False,7265
262,Scott Wagner,Kevin Van Winkle,,Colorado,2016,False,17483,True,26595
263,Tim Hicks,Kim Ransom,,Colorado,2016,False,16250,True,29710
264,Shantell Schweikart,Patrick Neville,,Colorado,2016,False,15109,True,35321
265,Daneya Esgar,No candidate,,Colorado,2016,True,1,False,0
266,Jason Munoz,Clarice Navarro-Ratzlaff,,Colorado,2016,False,15891,True,21714
267,Annie King,Stephen Humphrey,,Colorado,2016,False,14168,True,30417
268,Buzz Sweeney,Perry Buck,,Colorado,2016,False,21210,True,35412
269,Dave Young,John Honeycutt,"Roy Dakroub: 1,401 (L)",Colorado,2016,True,14803,False,10479
270,Jody Shadduck-McNally,Hugh McKean,,Colorado,2016,False,18642,False,28823
271,Joann Ginal,Donna Walter,,Colorado,2016,True,25876,False,21428
272,Jeni Arndt,No candidate,,Colorado,2016,True,1,False,0
273,No candidate,Yeulin Willett,"Gilbert Fuller: 8,563 (L)",Colorado,2016,False,0,True,28790
274,No candidate,Dan Thurlow,,Colorado,2016,False,0,True,1
275,Matthew Snider,Philip Covarrubias,"Kevin Gulbranson: 2,747 (L)",Colorado,2016,False,16228,False,26858
276,No candidate,Robert E. Rankin,,Colorado,2016,False,0,True,1
277,No candidate,Don Coram,,Colorado,2016,False,0,True,1
278,Barbara Hall McLachlan,J. Paul Brown,,Colorado,2016,False,23336,True,22661
279,David Higginbotham,James Wilson,"Glenn Ingalls: 2,651 (L)",Colorado,2016,False,12406,True,26246
280,Millie Hamner,Robert Schutt,,Colorado,2016,True,24562,False,19208
281,Donald Valdez,Robert Mattive,,Colorado,2016,False,19720,False,15805
282,Thomas Hudson,Lori Saine,"Joe Johnson: 3,678 (L)",Colorado,2016,False,13651,True,26952
283,Kathleen Conway,Kimmi Lewis,,Colorado,2016,False,9108,False,27952
284,Anthony Engelhaupt,Jon Becker,,Colorado,2016,False,6797,True,25965
285,Matthew Ritter,Ken Lerman,,Connecticut,2016,True,5662,False,489
286,Raghib Allie-Brennan,William Duff,,Connecticut,2016,False,5730,False,6012
287,Minnie Gonzalez,No candidate,,Connecticut,2016,True,1,False,0
288,Angel Arce,Lloyd Carter,,Connecticut,2016,True,4063,False,601
289,Brandon McGee,Paul Panos,,Connecticut,2016,True,7515,False,1662
290,Edwin Vargas,Russell Williams,,Connecticut,2016,True,5422,False,662
291,Douglas McCrory,No candidate,,Connecticut,2016,True,1,False,0
292,Thomas Currier,Tim Ackert,,Connecticut,2016,False,4646,True,8864
293,Jason Rojas,No candidate,,Connecticut,2016,True,1,False,0
294,Henry Genga,Travis Simpson,,Connecticut,2016,True,6246,False,2070
295,Jeffrey A. Currey,No candidate,,Connecticut,2016,True,1,False,0
296,Kelly J.S. Luxenberg,John Topping,,Connecticut,2016,True,6313,False,4000
297,Joe Diminico,Mark Tweedie,,Connecticut,2016,False,5647,True,5912
298,Saud Anwar,Tom Delnicki,,Connecticut,2016,False,6170,False,6852
299,David Baram,No candidate,,Connecticut,2016,True,1,False,0
300,John Hampton,Lydia Tedone,,Connecticut,2016,True,7011,False,6720
301,No candidate,Timothy LeGeyt,,Connecticut,2016,False,0,True,1
302,Andrew M. Fleischmann,Robert Levine,,Connecticut,2016,True,7474,False,4052
303,Derek Slap,Chris Barnes,,Connecticut,2016,False,7669,False,6573
304,Joe Verrengia,No candidate,,Connecticut,2016,True,1,False,0
305,Mike Demicco,Chris Forster,,Connecticut,2016,True,7047,False,6147
306,Elizabeth A. Boukus,William Petit,,Connecticut,2016,True,4229,False,6359
307,No candidate,Devin R. Carney,,Connecticut,2016,False,0,True,1
308,Rick Lopes,James Sanders,,Connecticut,2016,True,5209,False,2855
309,Bobby Sanchez,Richard Gadomski,Martha Kelly: 126 (G),Connecticut,2016,True,4349,False,897
310,Peter Tercyak,Desiree Agosto,,Connecticut,2016,True,4654,False,1785
311,Joshua Shulman,Gary Byron,,Connecticut,2016,False,5670,True,6624
312,Russell Morin,Mike Hurley,Lee Johnson: 151 (Unaffiliated),Connecticut,2016,True,6756,False,5971
313,Antonio Guerrera,Todd Brown,,Connecticut,2016,True,7413,False,4476
314,Joe Aresimowicz,Christopher Morelli,,Connecticut,2016,True,6886,False,6389
315,Matt Saunig,Prasad Srinivasan,,Connecticut,2016,False,4470,True,9617
316,Myron Johnson,Christie Carpino,,Connecticut,2016,False,4395,True,8263
317,Joseph Serra,Linda Szynkowicz,,Connecticut,2016,True,5648,False,4130
318,No candidate,Melissa Ziobron,,Connecticut,2016,False,0,True,1
319,Ellen Dahlgren,Jesse MacLachlan,Austin Coco: 195 (L) Ian Barron: 168 (G),Connecticut,2016,False,4854,True,7729
320,Phil Miller,Robert Siegrist,,Connecticut,2016,True,6662,False,6975
321,Beth Hogan,Holly Cheeseman,,Connecticut,2016,False,5342,False,6827
322,Sharon Palmer,Kathleen M. McCarty,Lauren Shaw: 477 (G),Connecticut,2016,False,5012,True,6747
323,Chris Soto,No candidate,Ronna Stuller: 440 (G),Connecticut,2016,False,4904,False,0
324,Christine Conley,John F. Scott,,Connecticut,2016,False,4078,True,3439
325,Joe de la Cruz,Aundre Bumgardner,,Connecticut,2016,False,5636,True,4646
326,No candidate,Mike France,,Connecticut,2016,False,0,True,1
327,Diana Urban,Nicholas Mullane,,Connecticut,2016,True,7849,False,4915
328,Christine Rosati Randall,Anne Dauphinais,,Connecticut,2016,True,3677,False,5592
329,Tracey Hanson,Kevin Skulczyck,,Connecticut,2016,False,3851,False,6389
330,Emmett Riley,Rob Dempsky,Bonnie Hong: 610 (Unaffiliated),Connecticut,2016,True,3536,False,2670
331,Kate Donnelly,Doug Dubitsky,,Connecticut,2016,False,4918,True,7323
332,Linda Orange,Evan Evans,,Connecticut,2016,True,6702,False,5275
333,Susan Johnson,Tony Fantoli,,Connecticut,2016,True,4912,False,2563
334,Pat Boyd,Nora Valentine,,Connecticut,2016,False,6243,False,5165
335,Daniel S. Rovero,Brian Lynch,,Connecticut,2016,True,5548,False,4028
336,Kathy Bachiochi,Kurt Vail,Linda Louise La Casse: 587 (Unaffiliated),Connecticut,2016,False,4180,True,6657
337,Susan Eastwood,Samuel Belsito,,Connecticut,2016,False,6337,True,6385
338,Gregory Haddad,Mark Sargent,,Connecticut,2016,True,7027,False,2306
339,No candidate,Robin Green,,Connecticut,2016,False,0,False,1
340,Michael Winkler,Jim Tedford,,Connecticut,2016,False,5456,False,5091
341,No candidate,Christopher Davis,,Connecticut,2016,False,0,True,1
342,David Alexander,Greg Stokes,,Connecticut,2016,True,4410,False,5095
343,Anthony DiPace,Carol Hall,,Connecticut,2016,False,4495,False,5294
344,Tim Curtis,Scott Storms,,Connecticut,2016,False,5427,False,6229
345,Michael Malloy,Tami Zawistowski,,Connecticut,2016,False,4136,True,7547
346,No candidate,William Simanski,,Connecticut,2016,False,0,True,1
347,No candidate,Jay Case,,Connecticut,2016,False,0,True,1
348,William Riiska,Brian Ohler,,Connecticut,2016,False,5433,False,6957
349,Michelle Cook,Todd Schaller,,Connecticut,2016,True,4274,False,4061
350,Gayle Carr,David Wilson,,Connecticut,2016,False,5549,False,7916
351,Mary Jane Lundgren,William Buckbee,Cindy Day: 207 (G),Connecticut,2016,False,4525,False,6539
352,No candidate,Eric C. Berthel,,Connecticut,2016,False,0,True,1
353,No candidate,Arthur O'Neill,,Connecticut,2016,False,0,True,1
354,No candidate,Rosa Rebimbas,,Connecticut,2016,False,0,True,1
355,No candidate,Anthony D'Amelio,"Danielle Albert: 1,588 (Ind.)",Connecticut,2016,False,0,True,6302
356,Larry Butler,No candidate,Vernon Matthews: 655 (Ind.) Richard J. Cam: 368 (Ind.),Connecticut,2016,True,4117,False,0
